pair,r
mlss-fm,-0.7908
srt-tmp,-0.6065
mlss-air,-0.5127
glu-srt,-0.4996
tmp-lv,-0.4912
air-flow,-0.4102
hrt-tmp,-0.4082
glu-air,0.383
srt-flow,-0.356
air-fm,0.3551
air-cn,-0.3396
cn-flow,0.3181
tmp-flow,0.3073
hrt-flow,-0.2994
glu-cn,0.2852
hrt-srt,0.244
srt-lv,0.2383
cn-hrt,0.2203
mlss-srt,-0.2194
flow-lv,0.2111
mlss-flow,0.2031
mlss-hrt,-0.1923
cn-tmp,-0.1824
cn-lv,0.1766
fm-srt,0.1533
glu-lv,0.1406
glu-tmp,0.1361
mlss-cn,0.1334
glu-flow,0.1299
air-srt,0.1194
air-tmp,-0.1095
fm-flow,0.1049
glu-hrt,-0.0812
hrt-lv,-0.0584
mlss-tmp,0.0516
cn-srt,-0.0497
air-lv,0.0467
fm-hrt,-0.0379
fm-tmp,0.0351
air-hrt,-0.0295
fm-lv,0.0276
glu-mlss,0.0224
mlss-lv,0.015
glu-fm,0.0133
fm-cn,0.002
