target,scheme,test_R2,feature,importance,rank
tmp,random,0.9815,srt,1.3385,1
tmp,random,0.9815,hrt,0.4142,2
tmp,random,0.9815,mlss,0.2139,3
tmp,random,0.9815,fm,0.1461,4
tmp,random,0.9815,glu,0.0911,5
tmp,random,0.9815,air,0.072,6
tmp,random,0.9815,cn,0.0302,7
tmp,blocked_24h,0.8564,srt,1.438,1
tmp,blocked_24h,0.8564,hrt,0.1717,2
tmp,blocked_24h,0.8564,air,0.1478,3
tmp,blocked_24h,0.8564,fm,0.1351,4
tmp,blocked_24h,0.8564,mlss,0.0836,5
tmp,blocked_24h,0.8564,glu,0.0561,6
tmp,blocked_24h,0.8564,cn,0.0334,7
tmp,blocked_168h,0.638,srt,1.1909,1
tmp,blocked_168h,0.638,glu,0.0792,2
tmp,blocked_168h,0.638,hrt,0.0378,3
tmp,blocked_168h,0.638,fm,0.0315,4
tmp,blocked_168h,0.638,cn,0.0155,5
tmp,blocked_168h,0.638,air,0.012,6
tmp,blocked_168h,0.638,mlss,-0.0319,7
tmp,chronological,-0.2743,srt,0.7712,1
tmp,chronological,-0.2743,fm,0.4355,2
tmp,chronological,-0.2743,mlss,0.1603,3
tmp,chronological,-0.2743,air,0.1116,4
tmp,chronological,-0.2743,cn,0.0629,5
tmp,chronological,-0.2743,glu,0.0437,6
tmp,chronological,-0.2743,hrt,-0.0375,7
flow,random,0.9177,srt,0.3639,1
flow,random,0.9177,hrt,0.3612,2
flow,random,0.9177,fm,0.2594,3
flow,random,0.9177,mlss,0.1881,4
flow,random,0.9177,air,0.1774,5
flow,random,0.9177,cn,0.1187,6
flow,random,0.9177,glu,0.0918,7
flow,blocked_24h,0.736,srt,0.361,1
flow,blocked_24h,0.736,hrt,0.2742,2
flow,blocked_24h,0.736,fm,0.2627,3
flow,blocked_24h,0.736,air,0.2624,4
flow,blocked_24h,0.736,mlss,0.1725,5
flow,blocked_24h,0.736,cn,0.0648,6
flow,blocked_24h,0.736,glu,0.0524,7
flow,blocked_168h,0.0001,air,0.5128,1
flow,blocked_168h,0.0001,cn,0.135,2
flow,blocked_168h,0.0001,mlss,0.09,3
flow,blocked_168h,0.0001,hrt,0.075,4
flow,blocked_168h,0.0001,srt,0.0663,5
flow,blocked_168h,0.0001,fm,0.0545,6
flow,blocked_168h,0.0001,glu,-0.0411,7
flow,chronological,-3.6592,fm,0.4178,1
flow,chronological,-3.6592,mlss,0.3588,2
flow,chronological,-3.6592,glu,0.1747,3
flow,chronological,-3.6592,srt,0.1216,4
flow,chronological,-3.6592,hrt,0.0314,5
flow,chronological,-3.6592,air,-0.0068,6
flow,chronological,-3.6592,cn,-0.1185,7
lv,random,0.8655,srt,1.7566,1
lv,random,0.8655,air,1.1159,2
lv,random,0.8655,mlss,0.4611,3
lv,random,0.8655,hrt,0.2505,4
lv,random,0.8655,fm,0.237,5
lv,random,0.8655,glu,0.1596,6
lv,random,0.8655,cn,0.0857,7
lv,blocked_24h,0.649,srt,1.5705,1
lv,blocked_24h,0.649,air,0.8173,2
lv,blocked_24h,0.649,mlss,0.3497,3
lv,blocked_24h,0.649,fm,0.227,4
lv,blocked_24h,0.649,glu,0.1206,5
lv,blocked_24h,0.649,hrt,0.1205,6
lv,blocked_24h,0.649,cn,0.0396,7
lv,blocked_168h,0.1869,srt,1.0626,1
lv,blocked_168h,0.1869,air,0.15,2
lv,blocked_168h,0.1869,hrt,0.0856,3
lv,blocked_168h,0.1869,mlss,0.0712,4
lv,blocked_168h,0.1869,glu,0.0256,5
lv,blocked_168h,0.1869,fm,-0.0006,6
lv,blocked_168h,0.1869,cn,-0.0267,7
lv,chronological,0.1644,srt,0.6023,1
lv,chronological,0.1644,cn,0.041,2
lv,chronological,0.1644,mlss,-0.0001,3
lv,chronological,0.1644,hrt,-0.0024,4
lv,chronological,0.1644,glu,-0.0243,5
lv,chronological,0.1644,air,-0.0386,6
lv,chronological,0.1644,fm,-0.0489,7
