Model,Output,Type,Train_R2,Test_R2,CV_R2_Mean,CV_R2_Std,Train_RMSE,Test_RMSE,CV_RMSE_Mean,Test_MAE
Linear Regression,tmp,linear,0.5146456398168089,0.4993983028819895,0.5120395072343668,0.017985382639613016,0.6937794007740647,0.7143299867891207,0.6950471108734636,0.5018500525390321
Ridge Regression,tmp,linear,0.5146455618349803,0.49941798424954775,0.5120431346494915,0.017973366851079916,0.6937794565087902,0.7143159445582461,0.6950445951270623,0.501837375724013
Lasso Regression,tmp,linear,0.44039736229024073,0.4404067488927671,0.43825162949507146,0.012199308724051014,0.7449580365217264,0.7552469097901021,0.7457461962298063,0.5401883700605757
ElasticNet,tmp,linear,0.4844131686930214,0.47964880380605124,0.48182190980115847,0.014194967218506766,0.7150605875339616,0.7282843902181588,0.7162369901124801,0.5153725041036614
Decision Tree,tmp,tree,0.9808820231437189,0.9086803971312424,0.9096660609951635,0.023645798515206963,0.13769332867990228,0.30509474685628146,0.29617014620095417,0.12125233815211596
Random Forest,tmp,ensemble,0.9951963094967475,0.9740401758966265,0.959712486703524,0.010255398107170414,0.06902071317392716,0.16266855007241232,0.1982579259931468,0.07534168839041841
Extra Trees,tmp,ensemble,1.0,0.9849161718990979,0.9783310912719916,0.002278302644451788,1.2674844771858054e-15,0.12399623831429492,0.14633989734969072,0.060186484446677825
Gradient Boosting,tmp,boosting,0.939493965909007,0.9225717633831101,0.9021766085655706,0.010144265430090638,0.24495780233849743,0.28093277377721493,0.31098780645852486,0.16296171448343735
AdaBoost,tmp,boosting,0.752330393760626,0.7596417393788906,0.7316190140449419,0.01690817525820611,0.4955965677708425,0.49497384302869624,0.5149053991957382,0.4333734272027475
Hist Gradient Boosting,tmp,boosting,0.9906158768533903,0.9711649400375036,0.9503841681011543,0.01029370602894803,0.09646922339795343,0.1714403925096387,0.22068282612280746,0.09263332935254287
KNN,tmp,instance,0.9800012524033714,0.9701586594523303,0.9582397338396375,0.008283003571692113,0.14082940123542317,0.17440618700438024,0.20235382479520364,0.08005159164024286
SVR,tmp,kernel,0.8885399892688599,0.8934960630730229,0.8716889734093517,0.013266624016969687,0.3324692421532479,0.32948492864593215,0.35585355872512514,0.17337358487382434
Bagging,tmp,ensemble,0.9952490676570406,0.9741420775791176,0.959960322567835,0.009240040585251503,0.06864064503935839,0.1623489697514635,0.1978999865209731,0.07496855328649313
MLP Neural Network,tmp,neural,0.954259852293518,0.9512470147944403,0.9401170939944107,0.008449250318538682,0.21298092777357785,0.2229222046765868,0.24296039912549522,0.1242343495113225
XGBoost,tmp,boosting,0.9990359435173066,0.9679484050074384,0.9495949495152191,0.004992025604414924,0.030920262544217075,0.1807496837365161,0.22327019040391477,0.08945564443800351
LightGBM,tmp,boosting,0.9913060644434919,0.9718848755496408,0.9534634559065974,0.012316923014348566,0.09285389830282814,0.16928665669447235,0.21294476510834665,0.09176444396850716
Linear Regression,flow,linear,0.478772826420652,0.4692121781986027,0.4749754704103236,0.034662574382075775,0.7242581055114794,0.7225422709708254,0.7257847297830665,0.5737696338210603
Ridge Regression,flow,linear,0.4787726736441338,0.4692167347182601,0.4749775206405259,0.034657704574991885,0.7242582116548552,0.7225391696514362,0.7257836802298934,0.5737497459357529
Lasso Regression,flow,linear,0.40060537362969106,0.3931287239513638,0.3971732284469169,0.027919859501381723,0.7766695209006036,0.7725935460409473,0.7781303341457081,0.6158529766139134
ElasticNet,flow,linear,0.44326235636309264,0.43476174700722203,0.4395395707081395,0.03168958797424805,0.7485229719429982,0.7456217318566173,0.7501029173369301,0.5883959089166333
Decision Tree,flow,tree,0.8807791332124287,0.7716114270648664,0.7734711896679328,0.017939447238956137,0.34638252781287704,0.4739581222279421,0.4768115458757527,0.3500028980692445
Random Forest,flow,ensemble,0.9839354489013281,0.899556874120741,0.8729899060378873,0.007869250478445172,0.12714934781921092,0.31431339867144376,0.3570619112812945,0.24430572407135998
Extra Trees,flow,ensemble,1.0,0.9247032149430896,0.9038900259665945,0.009555745586602675,1.3495834659376593e-15,0.2721391359251934,0.31035727537132435,0.2157040091350376
Gradient Boosting,flow,boosting,0.8411567777328481,0.8108957985616546,0.7976232094621187,0.01497242857752167,0.39981969544674584,0.431274096190971,0.450575842262183,0.33899484551032116
AdaBoost,flow,boosting,0.6832025060532384,0.6611537766939826,0.666187171596653,0.019072962154723642,0.5646387875594294,0.5773033923084494,0.5788306715683091,0.46654291136550385
Hist Gradient Boosting,flow,boosting,0.9426706597438287,0.8864396689536962,0.8600721763285202,0.016504185287981275,0.24019740532965425,0.33420743686322807,0.37421349252164254,0.26182308586234687
KNN,flow,instance,0.9299585645561214,0.8953443124644316,0.8761001138102573,0.014958735516774178,0.2654956188048086,0.32083681938595965,0.3520954545401277,0.2453284011955111
SVR,flow,kernel,0.7748063948646515,0.7707875689088606,0.7520463480101172,0.026698342643373653,0.47605580639822487,0.474812199026151,0.49813909876946133,0.35774497009524164
Bagging,flow,ensemble,0.9837278695588851,0.8985817617038654,0.8732189504012406,0.008164149498779581,0.12796819618395522,0.3158354073837507,0.35671874666653325,0.24510938239207858
MLP Neural Network,flow,neural,0.8815722474826948,0.8596274357028836,0.8351120393217031,0.007511325271143105,0.3452284540628142,0.3715727883853004,0.4069387379683328,0.287816604770258
XGBoost,flow,boosting,0.9873511927640759,0.8859258504486911,0.863203236528921,0.011104666908805065,0.11282481415211136,0.3349626660774944,0.3705139598153469,0.26440522058455573
LightGBM,flow,boosting,0.9425571232235834,0.8859469184111162,0.8611841822912243,0.015271143968325915,0.24043513428891788,0.3349317330977048,0.3727776934077359,0.2610923973654687
Linear Regression,lv,linear,0.1959917892788724,0.19509598293206787,0.19072847712651034,0.02346873220830734,0.8935457376553526,0.902710062629458,0.8948434551237483,0.6245846097573385
Ridge Regression,lv,linear,0.19599154371361993,0.19509533446248595,0.19073855313950067,0.023436325140469373,0.8935458741115261,0.9027104262628145,0.894839303080652,0.624604343390729
Lasso Regression,lv,linear,0.11586627861617438,0.11754559848953938,0.11261344834863599,0.008332450940126777,0.9370127990399244,0.9451970837392374,0.9373018802444031,0.6883018052993942
ElasticNet,lv,linear,0.15870738952084873,0.1594219868566189,0.15567886703849965,0.014293222349810265,0.9140292264866006,0.9224976090670126,0.9142366825696346,0.659950771340397
Decision Tree,lv,tree,0.9067722152553462,0.6246146481890003,0.6222993280104402,0.04897011393235917,0.30427006547037416,0.6164741877199177,0.6090438868360708,0.3691751982463907
Random Forest,lv,ensemble,0.9747186437531908,0.8241575043088081,0.8028100313033286,0.029351835213479713,0.1584479883566697,0.4219278141270478,0.44048795616088376,0.2722209382341282
Extra Trees,lv,ensemble,1.0,0.8887639814623607,0.8556514081091805,0.01796954284372154,1.3491362324368558e-15,0.3355822287795367,0.3768260869641293,0.22378314218717085
Gradient Boosting,lv,boosting,0.75385878635506,0.6839838384819708,0.639865704342242,0.03433927708760287,0.49440028722239204,0.5656279778992013,0.5969051969896759,0.39812013919614225
AdaBoost,lv,boosting,0.16233535656183629,0.1896315602409855,0.17789676623393244,0.059542312994924504,0.9120562799599995,0.9057690892186235,0.9002624176261103,0.7592416433192831
Hist Gradient Boosting,lv,boosting,0.9274193711334996,0.8204131294706013,0.7872032461473117,0.02156153055557386,0.26847070852401766,0.42639639814651503,0.45838759697517667,0.29597425132030086
KNN,lv,instance,0.8765304722407733,0.8116983226889319,0.766799685962477,0.01506049702145282,0.35015992380757177,0.4366197035892352,0.48029893901076787,0.2678542905594266
SVR,lv,kernel,0.5323473272876846,0.49898731739798563,0.5029087838841303,0.030159396825792207,0.6814723757994565,0.7121977479550444,0.7013753661796456,0.4114399506229045
Bagging,lv,ensemble,0.9743145945481273,0.8241098884337387,0.8033808617368082,0.030573826806942858,0.15970913531296146,0.42198493655963026,0.43967768256388684,0.27314110259531305
MLP Neural Network,lv,neural,0.7680888678248036,0.7547778601736796,0.7634356720136639,0.027419192852541,0.47989623599918635,0.4982600589905511,0.48270314980405304,0.3476255705121389
XGBoost,lv,boosting,0.9882391377738284,0.8056973772808187,0.7907257228141034,0.03470363100263582,0.1080702426958926,0.4435224091211867,0.45299807463980235,0.2940344901595952
LightGBM,lv,boosting,0.9252422716358362,0.8085401068953539,0.7872487561578814,0.024679082376470436,0.27246742892552384,0.44026599426353735,0.45807335855707454,0.3010618316846303
