Output,Model,MAE,RMSE,R²,Mean_Error,Std_Error
tmp,Linear Regression,0.04451079272553797,0.06290895044833154,0.5099879461248604,0.0003974706032015535,0.06290769478871583
tmp,Lasso Regression,0.04868282265743659,0.06722821149963634,0.44039060173738986,0.0006420508361457377,0.0672251455347152
tmp,Ridge Regression,0.04451047532941487,0.06290856882986483,0.5099938911320545,0.0003977868283645901,0.06290731116381482
tmp,Decision Tree,0.010485073873333448,0.027740090672679657,0.9047209020621328,-0.000258433842583019,0.02773888682837681
tmp,ElasticNet,0.04628839769332779,0.06462120650684285,0.48295063553966455,0.0005693201995345927,0.06461869857023145
tmp,Gradient Boosting,0.01707405994227519,0.02951433126391852,0.8921431384221118,-0.0007424016626535348,0.02950499262375111
tmp,AdaBoost,0.03774274450228153,0.04381867536625581,0.7622610317073949,-0.019542455096286323,0.03921949463803616
tmp,Hist Gradient Boosting,0.010629252738519545,0.021391146807727298,0.9433434636479789,-0.0006483859793264093,0.021381317952164566
tmp,Random Forest,0.0068807065237513594,0.01631341440655056,0.9670487706899253,-0.0005224385170237324,0.0163050466910028
tmp,Extra Trees,0.005644505918913563,0.013809155905500888,0.9763889038452547,-4.006896537992829e-05,0.013809097772861318
tmp,KNN,0.006252588410755498,0.013689667780918555,0.9767957411283633,0.0002728163071195299,0.013686949083506126
tmp,SVR,0.015538983691677116,0.029811976786897437,0.8899567437458782,0.0021064662872049967,0.029737463908736068
tmp,MLP Neural Network,0.010843021860993191,0.019459192765775454,0.9531152586208247,-0.000555631629859934,0.019451258483386285
tmp,LightGBM,0.010280437691063111,0.02183773389291865,0.9409531106833472,-0.0005316416705836207,0.02183126150070186
tmp,XGBoost,0.01116499708808042,0.026997349692206133,0.9097547924642534,0.004054647816139985,0.026691135635081804
tmp,Bagging,0.0068411297895863265,0.01617880947556779,0.9675903004030697,-0.0005424580916198553,0.01616971289991131
flow,Linear Regression,0.14584608113003494,0.18573034231404315,0.47619552591694836,-0.00043262296262189123,0.18572983845753988
flow,Ridge Regression,0.1458394570626534,0.18573013041423203,0.47619672113367406,-0.0004344219536916038,0.18572962235802284
flow,ElasticNet,0.14903824480753403,0.1918666617291031,0.4410119495325464,-0.0015817456117729872,0.1918601416758825
flow,Lasso Regression,0.1561875137842799,0.19900009704674754,0.39867388988734653,-0.002168710343715307,0.1989882793534835
flow,Decision Tree,0.0808825690626492,0.11665477333433645,0.7933627975075693,-0.0004802912827574925,0.11665378460199705
flow,Gradient Boosting,0.0893795235987865,0.11358714702586578,0.804087625556861,0.004689007132903296,0.11349032197321159
flow,Hist Gradient Boosting,0.063655771736202,0.08210843194395598,0.8976285152973522,0.0041072842826152456,0.08200563890438896
flow,AdaBoost,0.11964970951987412,0.14900182728575792,0.6628783265012046,-0.02047829628001985,0.14758788539701542
flow,Random Forest,0.050804241390226434,0.07095523471983603,0.9235509017003998,0.0028522953502786983,0.07089788251691162
flow,KNN,0.055046235297844553,0.07269392724044423,0.9197583687048357,0.0008957463394295717,0.07268840826524128
flow,Extra Trees,0.03513008295003483,0.05195514703034247,0.9590116305875707,0.001137047663315928,0.051942703294648146
flow,SVR,0.09102266865934532,0.12201592235808283,0.7739333494390788,0.0026691963741771844,0.12198672345632444
flow,MLP Neural Network,0.07010072784504441,0.09038574015657945,0.8759481278737016,0.006775073895574371,0.0901314617509458
flow,XGBoost,0.059928405790141887,0.07996346992305402,0.9029072619697136,-0.0023726414684053757,0.07992826217676428
flow,LightGBM,0.06497902001915042,0.08392301162500782,0.8930537388901023,0.0035139772279826472,0.08384941171083084
flow,Bagging,0.050683699380934026,0.07075847121223894,0.9239743105165029,0.003226039514916184,0.07068489171910391
lv,Linear Regression,0.6958946869657976,0.9987386615217665,0.1966343526793538,-0.012767269121722545,0.9986570536763174
lv,ElasticNet,0.7351363985618856,1.021352701139723,0.1598419039318607,-0.01817598639864081,1.0211909584616603
lv,Ridge Regression,0.6959133218530893,0.9987388328194269,0.19663407710242264,-0.012775869179710136,0.998657115004051
lv,Lasso Regression,0.7694169674697378,1.0468583906686462,0.11735633239606735,-0.02153217230826634,1.0466369263832778
lv,Decision Tree,0.40173106204064307,0.7568109717430959,0.538699025277489,0.016101056464251647,0.7566396784014595
lv,Gradient Boosting,0.4527794120150688,0.6566394733146449,0.6527330073983729,0.0017057010152960067,0.6566372579278309
lv,AdaBoost,0.8378051636045194,0.9891384908669217,0.21200449994371484,0.4877766233847862,0.8605050376341952
lv,Random Forest,0.2718268435551055,0.49308882347347655,0.8041787354821412,0.014875481215371172,0.49286439097693846
lv,Hist Gradient Boosting,0.3533552563140494,0.5533734295467,0.7533698664378085,0.05442324140717478,0.550690714760121
lv,KNN,0.2577659391665579,0.421596812424102,0.8568457749055745,-0.007590133038972467,0.4215284831735741
lv,Extra Trees,0.17991896465055507,0.3063462052025499,0.9244151869727057,0.006607510371129864,0.30627493898244146
lv,SVR,0.43882184569891597,0.7700210251724193,0.522454562251792,-0.10733694877689315,0.7625032187701573
lv,XGBoost,0.3075625582261118,0.5048557586930262,0.7947211707949905,-0.04609931621493189,0.5027466460654182
lv,MLP Neural Network,0.37579397891184974,0.538912970734227,0.7660910679560027,0.05753473255916857,0.5358329446524679
lv,Bagging,0.2732550749205312,0.4953236274436497,0.8023996894931293,0.016229527711125537,0.4950576717254358
lv,LightGBM,0.3131327687856234,0.4751399981673271,0.8181753683152522,0.007387997373993022,0.47508255635547125
