feature,decile,n,lo,hi,pct_met
glu,1,460,0.4027,0.5015,12.0
glu,2,459,0.5015,0.5832,22.4
glu,3,459,0.5832,0.5972,40.1
glu,4,459,0.5972,0.5999,26.6
glu,5,460,0.5999,0.6025,31.1
glu,6,459,0.6025,0.6134,37.7
glu,7,459,0.6135,0.6976,41.2
glu,8,459,0.6977,0.7057,40.3
glu,9,459,0.7058,1.09,60.6
glu,10,460,1.09,1.352,58.9
mlss,1,460,1918.4656,3588.9199,3.9
mlss,2,459,3596.4382,3972.6388,28.8
mlss,3,459,3972.7022,4137.4932,23.5
mlss,4,459,4137.8816,4403.7732,32.7
mlss,5,460,4403.9149,4984.2581,21.7
mlss,6,459,4985.3497,5345.5145,40.3
mlss,7,459,5346.3132,5579.8695,59.7
mlss,8,459,5579.9356,5804.9496,69.1
mlss,9,459,5805.0004,6137.4625,66.2
mlss,10,460,6138.0414,7629.4816,25.0
air,1,460,4470.1564,4868.1584,44.8
air,2,459,4868.2488,5892.1891,61.4
air,3,459,5892.6725,5996.9717,43.1
air,4,459,5996.9741,6000.4742,26.6
air,5,460,6000.4876,6006.4114,23.0
air,6,459,6006.4222,6075.9431,45.8
air,7,459,6075.9453,6132.8401,40.1
air,8,459,6132.8935,6199.8851,39.7
air,9,459,6200.1415,6356.0597,29.2
air,10,460,6356.1696,7271.291,17.2
fm,1,460,0.0118,0.0194,28.3
fm,2,459,0.0194,0.0206,36.4
fm,3,459,0.0206,0.022,42.0
fm,4,459,0.022,0.0233,60.8
fm,5,460,0.0233,0.0252,68.3
fm,6,459,0.0252,0.0284,46.0
fm,7,459,0.0284,0.0323,19.0
fm,8,459,0.0323,0.0352,32.5
fm,9,459,0.0352,0.0373,22.7
fm,10,460,0.0373,0.0658,15.0
cn,1,460,4.805,7.0081,57.2
cn,2,459,7.0098,7.5079,52.7
cn,3,459,7.5082,8.097,39.4
cn,4,459,8.0974,8.5367,24.4
cn,5,460,8.5375,8.925,23.0
cn,6,459,8.9254,9.3814,21.6
cn,7,459,9.382,10.0173,37.3
cn,8,459,10.0189,11.3285,38.1
cn,9,459,11.3331,12.9158,50.5
cn,10,460,12.9221,17.5105,26.5
hrt,1,460,5.8751,6.3815,82.2
hrt,2,459,6.3816,6.6448,42.0
hrt,3,459,6.6449,7.1591,53.2
hrt,4,459,7.1598,7.2653,54.0
hrt,5,460,7.2653,7.3946,26.3
hrt,6,459,7.3948,7.4642,24.8
hrt,7,459,7.4643,7.529,35.1
hrt,8,459,7.5292,7.6656,40.1
hrt,9,459,7.6662,7.9452,13.1
hrt,10,460,7.9459,11.0412,0.0
srt,1,460,43.3017,72.1965,77.4
srt,2,459,72.1965,76.6031,69.5
srt,3,459,76.6033,84.3114,74.5
srt,4,459,84.3116,86.5918,59.0
srt,5,460,86.592,86.6282,25.4
srt,6,459,86.6282,86.6616,19.8
srt,7,459,86.6618,92.2165,18.7
srt,8,459,92.2181,108.2324,26.4
srt,9,459,108.2324,108.288,0.0
srt,10,460,108.288,108.3853,0.0
