feature,lo,hi,n_model,model_rate,n_real,real_rate
glu,0.4027,0.5015,36096,14.4,460,12.0
glu,0.5015,0.5832,50225,22.8,459,22.4
glu,0.5832,0.5972,49914,43.4,459,40.1
glu,0.5972,0.5999,24699,38.6,459,26.6
glu,0.5999,0.6025,23882,38.6,459,31.2
glu,0.6025,0.6134,46796,41.1,460,37.6
glu,0.6134,0.6976,55083,40.9,459,41.2
glu,0.6976,0.7058,28168,50.1,459,40.3
glu,0.7058,1.09,50641,60.1,459,60.6
glu,1.09,1.352,34496,64.8,459,58.8
mlss,1918.4656,3590.4236,39005,4.6,460,3.9
mlss,3590.4236,3972.6641,42103,34.1,459,28.8
mlss,3972.6641,4137.7263,36748,24.5,459,23.5
mlss,4137.7263,4403.8865,41072,38.9,459,32.7
mlss,4403.8865,4984.2581,41604,25.4,459,21.8
mlss,4984.2581,5345.6742,40057,42.9,460,40.2
mlss,5345.6742,5579.8959,39215,65.7,459,59.7
mlss,5579.8959,5804.9801,39791,77.5,459,69.1
mlss,5804.9801,6137.9257,39336,74.3,459,66.2
mlss,6137.9257,7629.4816,41069,26.7,459,25.1
air,4470.1564,4868.1765,39096,55.5,460,44.8
air,4868.1765,5892.3825,41547,63.6,459,61.4
air,5892.3825,5996.9731,51226,44.0,459,43.1
air,5996.9731,6000.4849,31002,31.9,459,26.6
air,6000.4849,6006.4114,37437,31.2,459,23.1
air,6006.4114,6075.9435,42853,43.6,460,45.7
air,6075.9435,6132.8614,37460,45.2,459,40.1
air,6132.8614,6200.0389,38821,42.3,459,39.7
air,6200.0389,6356.1476,41506,31.8,459,29.2
air,6356.1476,7271.291,39052,21.4,459,17.2
fm,0.0118,0.0194,42357,31.1,460,28.3
fm,0.0194,0.0206,37955,42.9,459,36.4
fm,0.0206,0.022,39288,47.5,459,42.0
fm,0.022,0.0233,40310,66.8,459,60.8
fm,0.0233,0.0252,40148,71.3,459,68.2
fm,0.0252,0.0284,38236,54.3,460,46.1
fm,0.0284,0.0323,40779,23.9,459,19.0
fm,0.0323,0.0352,42066,34.7,459,32.5
fm,0.0352,0.0373,37860,26.1,459,22.7
fm,0.0373,0.0658,41001,17.2,459,15.0
cn,4.805,7.0084,41228,56.7,460,57.2
cn,7.0084,7.508,40077,57.9,459,52.7
cn,7.508,8.0972,41291,44.9,459,39.4
cn,8.0972,8.5373,38550,30.1,459,24.4
cn,8.5373,8.925,40259,24.9,459,23.1
cn,8.925,9.3815,38680,24.0,460,21.5
cn,9.3815,10.018,40918,37.4,459,37.3
cn,10.018,11.3312,39752,41.8,459,38.1
cn,11.3312,12.9208,39275,58.6,459,50.5
cn,12.9208,17.5105,39970,36.8,459,26.6
hrt,5.8751,6.3815,40542,82.8,460,82.2
hrt,6.3815,6.6449,41214,46.5,459,42.0
hrt,6.6449,7.1595,41619,58.4,459,53.2
hrt,7.1595,7.2653,37178,57.0,459,54.0
hrt,7.2653,7.3946,40690,32.6,459,26.4
hrt,7.3946,7.4642,38579,29.3,460,24.8
hrt,7.4642,7.5291,39614,42.2,459,35.1
hrt,7.5291,7.6659,41514,45.5,459,40.1
hrt,7.6659,7.9457,40316,18.1,459,13.1
hrt,7.9457,11.0412,38734,0.0,459,0.0
srt,43.3017,72.1965,39798,85.3,460,77.4
srt,72.1965,76.6032,39906,76.7,459,69.5
srt,76.6032,84.3115,40353,87.1,459,74.5
srt,84.3115,86.5919,45443,61.4,459,59.0
srt,86.5919,86.6282,35035,22.6,459,25.5
srt,86.6282,86.6617,36136,21.0,460,19.8
srt,86.6617,92.2171,44284,23.2,459,18.7
srt,92.2171,108.2324,43244,28.5,459,26.4
srt,108.2324,108.288,35402,0.1,459,0.0
srt,108.288,108.3853,40399,0.0,459,0.0
