Input,Output,Correlation,Abs_Correlation
air,flow,-0.6273939290490749,0.6273939290490749
mlss,lv,-0.4890678159739031,0.4890678159739031
fm,lv,0.481462488861629,0.481462488861629
cn,flow,0.43290701486810274,0.43290701486810274
cn,tmp,-0.33282962986946757,0.33282962986946757
glu,lv,0.26885271207965916,0.26885271207965916
hrt,tmp,-0.2622339706619817,0.2622339706619817
srt,tmp,-0.25671399778414594,0.25671399778414594
hrt,flow,-0.16417300412610641,0.16417300412610641
fm,tmp,-0.14828916624913743,0.14828916624913743
fm,flow,0.13291112694053211,0.13291112694053211
cn,lv,0.13110589816559454,0.13110589816559454
glu,flow,0.12961239869128452,0.12961239869128452
mlss,tmp,0.12105770619347964,0.12105770619347964
air,lv,-0.10945400040906297,0.10945400040906297
glu,tmp,-0.10470375075185097,0.10470375075185097
air,tmp,-0.06406975101005848,0.06406975101005848
hrt,lv,-0.05546559698615095,0.05546559698615095
srt,flow,-0.027714555885368,0.027714555885368
mlss,flow,0.018400144614214308,0.018400144614214308
srt,lv,0.0015417241898907836,0.0015417241898907836
